V2022,V2023,V2024,V2025,V2026,V2032,V2033CAT,V2034,V2038,V2040A,V2042CAT,V2045,V2047,V2078,V2120,V2126B,V2127B,V2128B,V2129,V2132,V3012,V3018,V3020,V3023A,V3032,V3033,V3061,V3064,V3071,V3072,V3074,V3075,V3076,VS0005,VS0010,VS0011,VS0022,VS0023,VS0024,VS0025,VS0026,VS0027,VS0029,VS0031,VS0041,VS0043,VS0045,VS0046,VS0047,VS0048,VS0049,VS0050,VS0051,VS0052,VS0053,VS0054,VS0055,VS0146,VS0147,VS0148,VS0149,VS0150,VS0151,VS0057,VS0152,VS0153,VS0154,VS0155,VS0058,VS0059,VS0060,VS0061,VS0062,VS0063,VS0064,VS0065,VS0066,VS0067,VS0068,VS0069,VS0124,VS0126,VS0133,VS0134,VS0137,VS0138,VS0139,VS0140,VS0141,o_bullied
1,1,1,9,9,11,5,4,28,1,5,1,28,2,9,16,2,1,2,4,4,2,6,1,13,99,1,0,9,9,99,9,9,1,13,2,6,8,2,4,2,1,2,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,6,1,1,1,1,4,0
1,8,5,1,98,11,4,1,9,2,4,2,9,1,2,18,3,1,1,4,4,2,11,2,4,1,0,0,2,2,99,9,9,2,18,1,6,8,1,1,1,1,2,2,1,1,1,4,4,2,1,1,2,2,2,2,4,1,4,2,2,2,2,1,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,99,2,1,1,2,1
1,1,1,9,14,11,4,1,42,1,4,2,42,4,9,13,4,4,2,4,3,1,11,1,5,99,0,1,2,2,99,9,9,2,17,1,10,12,4,1,4,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,3,3,2,2,2,3,3,2,1,1,2,9,99,2,1,1,2,0
1,1,5,1,12,2,4,1,40,1,3,1,28,2,2,16,2,1,2,1,3,1,8,1,4,1,1,0,9,9,99,9,9,1,14,2,9,12,2,2,2,1,2,2,3,1,3,2,3,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.506569638,1,1,1,2,99,2,1,1,3,0
1,1,1,9,12,11,4,1,28,1,4,2,28,3,9,13,3,3,2,4,4,2,10,1,3,1,1,0,2,1,93.37517687,8.411158278,8.4396604,2,16,2,9,12,2,1,2,1,2,2,1,1,1,3,2,1,2,2,2,2,2,2,4,3,2,2,2,2,2,1,3,2,2,2,2,1,3,4,1,3,4,4,3,4,3,1,1,1,1,6,99,1,1,1,5,0
1.706488781,8,1,9,14,11,4,1,45,1,4,2,45,2,9,17,2,1,2,1,3,1,7,3,99,4,0,0,9,9,99,9,9,1,13,1,6,8,2,1,2,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,1,0
1,1,5,1,8,11,4,5,40,1.410753992,4,2,40,0,2,19,4,1,1,4,4,2,9,5,8,99,0,1,9,9,99,9,9,1,15,1,9,12,3,2,3,1,2,2,1,3,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,1,1,4,4,1,1,3,4,3,1,3,1,2,2,1,3,99,2,1,3,2,1
1,1,1,9,13,11,5,1,42,1,5,2,42,4,9,16,2,1,1,4,3,1,7,1,13,99,0,0,9,9,99,9,9,2,14,1,5,8,4,2,4,1,2,2,1,3,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,6,99,2,1,1,2,0
1,1,1,9,14,2,5,1,28,1,5,1,40,3,9,16,3,1,2,3.720234486,9,2,5,1,12,99,0,1,9,9,99,9,9,1,12,3,30,30,2,1,2,1,2,2,1,1,2,4,1,4,2,4,1,4,3,3,2,4,1,4,4,4,4,4,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,6,2,9,2.949262179,0
1,1,1,9,98,11,4,3,40,1,4,2,40,4,9,0,2,1,2,4,4,2,9,1,15,99,1,0,9,9,99,9,9,1,15,2,9,12,2,2,2,1,2,2,3,1,3,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,9,2,3,2,9,3,0
1,8,1,9,3,11,4,5,10,1,4,2,10,1,2,21,4,4,1,4,4,2,7,1,2,3,0,0,9,9,99,9,9,2,13,1,0,8,4,1,4,1,1,2,4,1,1,3,1,2,2,1,1,2,1,2,3,2,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,9,99,3,1,1,1,1
1,8,1,9,13,2,3,1,28,1,4,1,42,2,9,19,2,1,1,4,4,2,6,1,5,99,1,0,9,9,99,9,9,1,12,1,0,12,2,4,2,1,2,1,1,1,2,3,3,2,2,3,2,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,9,99,2,2,9,1,0
1,1,1,9,10,11,4,1,28,1,4,2,28,2,9,0,3,3,2,4,4,2,9,1,6,99,0,1,9,9,99,9,9,2,14,1,0,12,2,3,2,1,2,1,2,1,2,3,3,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,99,1,1,1,1,0
1,1,5,1,14,2,4,1,28,4,6,1,43,1,2,0,2,1,2,4,3,1,8,1.550232464,10,99,1,0,9,9,99,9,9,1,14,1,9,12,4,1,3,1,2,1,2,1,1,3,3,2,1,1,2,1,2,1,3,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,1,2,9,99,1,1,1,1,0
5,9,1,9,98,11,4,4,40,1,4,2,40,1,2,0,3,1,2,4,3,1,7,1,2,1,1,0,9,9,99,9,9,2,13,2,6,8,2,5,2,1,2,1,1,1,1,4,3,1,1,2,1,2,1,1,4,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,9,99,2,1,1,4,1
1,1,1,9,98,11,4,1,41,1.410753992,4,2,41,4,2,0,4,4,2,4,4,2,9,5,5,99,0,1,9,9,99,9,9,2,15,1,10,12,4,1,4,1,2,2,2,1,1,4,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,6,99,1,1,1,2,0
1,1,1,9,14,11,4,1,40,1,4,2,40,3,9,0,3,4,2,4,4,2,8,1,5,99,1,0,9,9,99,9,9,2,12,1.586618152,9,12,2,2,2,1,2,1,3,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,6,99,1,1,1,2.949262179,0
1,1,1,9,14,2,5,1,42,1,5,1,43,3,9,0,1,3,2,4,4,2,11,1,16,99,1,0,2,1,93.37517687,8.411158278,8.4396604,1,18,1,9,12,4,1,4,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,99,1,1,1,2,0
1,1,1,9,14,11,4,1,28,1,4,2,28,3,9,16,3,1,2,4,3,1,7,1,13,99,1,0,9,9,99,9,9,2,13,2,7,8,2,2,2,1,1,2,2,2,1,3,3,2,2,2,2,2,1,1,3,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,99,2,1,1,3,0
1,1,1,9,13,11,4,1,28,1,4,2,28,4,9,0,3,1,2,4,4,2,8,1,14,99,0,0,9,9,99,9,9,2,14,1,6,8,4,3,2,1,2,2,3,2,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,99,2,2,9,1,1
